team_id,year,league_id,sub_league_id,division_id,g,w,l,pos,pct,gb,streak,magic_number
31,1998,150,1,2,162,65,97,5,0.4012,33.0000,0,0
31,1999,150,1,2,162,100,62,1,0.6173,0.0000,0,0
31,2000,150,1,2,162,85,77,3,0.5247,12.0000,0,0
31,2001,150,1,2,162,92,70,1,0.5679,0.0000,0,0
31,2002,150,1,2,162,98,64,1,0.6049,0.0000,0,0
31,2003,150,1,2,162,84,78,3,0.5185,16.5000,0,0
31,2004,150,1,2,162,51,111,5,0.3148,42.0000,0,0
31,2005,150,1,2,162,77,85,2,0.4753,5.0000,0,0
31,2006,150,1,2,162,76,86,4,0.4691,12.0000,0,0
31,2007,150,1,2,162,90,72,1,0.5556,0.0000,0,0
31,2008,150,1,2,162,82,80,2,0.5062,2.0000,0,0
31,2009,150,1,2,162,70,92,5,0.4321,25.0000,0,0
31,2010,150,1,2,162,65,97,5,0.4012,27.0000,0,0
31,2011,150,1,2,162,94,68,1,0.5802,0.0000,0,0
31,2012,150,1,2,162,81,81,3,0.5000,13.0000,0,0
31,2013,150,1,2,162,81,81,2,0.5000,11.0000,0,0
31,2014,150,1,2,162,64,98,5,0.3951,30.0000,0,0
31,2015,150,1,2,162,79,83,3,0.4877,13.0000,0,0
31,2016,150,1,2,162,69,93,4,0.4259,22.0000,0,0
31,2017,150,1,2,162,93,69,2,0.5741,11.0000,0,0
31,2018,150,1,2,162,82,80,3,0.5062,9.5000,0,0
32,1871,150,0,0,32,20,10,3,0.6250,1.0000,0,0
32,1872,150,0,0,60,39,8,1,0.6500,0.0000,0,0
32,1873,150,0,0,60,43,16,1,0.7167,0.0000,0,0
32,1874,150,0,0,60,52,18,1,0.8667,0.0000,0,0
32,1875,150,0,0,96,71,8,1,0.7396,0.0000,0,0
32,1876,150,0,0,96,39,31,4,0.4063,8.0000,0,0
32,1877,150,0,0,96,42,18,1,0.4375,0.0000,0,0
32,1878,150,0,0,96,41,19,1,0.4271,0.0000,0,0
32,1879,150,0,0,96,54,30,2,0.5625,0.0000,0,0
32,1880,150,0,0,96,40,44,6,0.4167,7.0000,0,0
32,1881,150,0,0,96,38,45,6,0.3958,3.0000,0,0
32,1882,150,0,0,112,45,39,3,0.4018,10.0000,0,0
32,1883,150,0,0,112,63,35,1,0.5625,0.0000,0,0
