league_id,sub_league_id,year,all_star_pos,all_star
150,0,1933,0,7345
150,0,1933,1,6476
150,0,1933,2,7101
150,0,1933,3,7103
150,0,1933,4,6052
150,0,1933,5,5172
150,0,1933,6,4470
150,0,1933,7,15072
150,0,1933,8,14377
150,0,1933,9,2580
150,0,1933,10,5198
150,0,1933,11,5688
150,0,1933,12,6477
150,0,1933,13,6769
150,0,1933,14,7645
150,0,1933,15,8402
150,0,1933,16,10122
150,0,1933,17,17032
150,1,1933,0,7815
150,1,1933,1,17338
150,1,1933,2,16079
150,1,1933,3,6854
150,1,1933,4,10940
150,1,1933,5,2841
150,1,1933,6,7750
150,1,1933,7,3123
150,1,1933,8,9665
150,1,1933,9,5232
150,1,1933,10,6232
150,1,1933,11,8032
150,1,1933,12,8736
150,1,1933,13,14721
150,1,1933,14,16336
150,1,1933,15,16811
150,1,1933,16,16845
150,0,1934,0,7345
150,0,1934,1,5688
150,0,1934,2,7101
150,0,1934,3,7103
150,0,1934,4,6769
150,0,1934,5,5172
150,0,1934,6,10853
150,0,1934,7,15072
150,0,1934,8,14377
150,0,1934,9,2580
150,0,1934,10,3699
150,0,1934,11,4470
150,0,1934,12,4729
150,0,1934,13,6052
150,0,1934,14,6476
150,0,1934,15,7908
150,0,1934,16,8390
150,0,1934,17,14344
150,0,1934,18,14364
150,0,1934,19,17032
150,1,1934,0,8736
150,1,1934,1,8032
150,1,1934,2,16079
150,1,1934,3,6854
150,1,1934,4,16336
150,1,1934,5,8941
150,1,1934,6,11519
150,1,1934,7,3123
150,1,1934,8,5302
150,1,1934,9,5514
150,1,1934,10,6784
150,1,1934,11,8279
150,1,1934,12,9665
150,1,1934,13,10481
150,1,1934,14,10940
150,1,1934,15,11955
150,1,1934,16,12175
150,1,1934,17,12811
150,1,1934,18,16562
150,1,1934,19,16811
150,1,1934,20,16845
150,0,1935,0,7345
150,0,1935,1,8209
150,0,1935,2,7101
150,0,1935,3,7103
150,0,1935,4,6769
150,0,1935,5,5172
150,0,1935,6,9070
150,0,1935,7,15072
150,0,1935,8,16660
150,0,1935,9,2580
150,0,1935,10,3350
150,0,1935,11,3699
150,0,1935,12,4470
150,0,1935,13,4729
150,0,1935,14,5099
150,0,1935,15,6476
150,0,1935,16,7645
150,0,1935,17,7908
150,0,1935,18,12274
150,0,1935,19,14304
150,0,1935,20,17032
150,1,1935,0,16716
150,1,1935,1,17338
150,1,1935,2,16079
150,1,1935,3,8279
150,1,1935,4,10940
150,1,1935,5,16562
150,1,1935,6,11519
150,1,1935,7,3123
150,1,1935,8,12811
150,1,1935,9,4815
150,1,1935,10,5514
150,1,1935,11,5632
150,1,1935,12,6854
150,1,1935,13,8032
150,1,1935,14,8736
150,1,1935,15,10813
150,1,1935,16,11955
150,1,1935,17,14721
150,1,1935,18,16811
150,1,1935,19,17117
150,0,1936,0,7645
150,0,1936,1,6476
150,0,1936,2,7101
150,0,1936,3,7103
150,0,1936,4,8390
150,0,1936,5,2475
150,0,1936,6,13617
150,0,1936,7,2580
150,0,1936,8,5726
150,0,1936,9,3699
150,0,1936,10,4470
150,0,1936,11,5178
150,0,1936,12,5688
150,0,1936,13,6769
150,0,1936,14,7345
150,0,1936,15,7427
150,0,1936,16,7908
150,0,1936,17,8209
150,0,1936,18,9510
150,0,1936,19,13043
150,0,1936,20,14304
150,0,1936,21,14812
150,1,1936,0,5514
150,1,1936,1,8032
150,1,1936,2,4815
150,1,1936,3,8279
150,1,1936,4,17141
150,1,1936,5,6029
150,1,1936,6,11519
150,1,1936,7,6937
150,1,1936,8,5595
150,1,1936,9,3123
150,1,1936,10,5439
150,1,1936,11,8736
150,1,1936,12,10447
150,1,1936,13,10945
150,1,1936,14,11955
150,1,1936,15,12175
150,1,1936,16,12811
150,1,1936,17,13971
150,1,1936,18,15808
150,1,1936,19,16562
150,1,1936,20,16845
150,0,1937,0,7345
150,0,1937,1,5688
150,0,1937,2,7101
150,0,1937,3,7103
150,0,1937,4,14199
150,0,1937,5,5172
150,0,1937,6,17032
150,0,1937,7,2580
150,0,1937,8,5726
150,0,1937,9,3022
150,0,1937,10,3699
150,0,1937,11,4696
150,0,1937,12,5099
150,0,1937,13,6476
150,0,1937,14,6477
150,0,1937,15,6769
150,0,1937,16,7539
150,0,1937,17,7645
150,0,1937,18,7908
150,0,1937,19,12089
150,0,1937,20,12224
150,0,1937,21,12274
150,0,1937,22,14849
150,0,1937,23,15733
150,0,1937,24,16726
150,1,1937,0,5514
150,1,1937,1,8032
150,1,1937,2,11843
150,1,1937,3,8279
150,1,1937,4,16562
150,1,1937,5,2841
150,1,1937,6,11519
150,1,1937,7,5595
150,1,1937,8,16811
150,1,1937,9,3313
150,1,1937,10,4815
150,1,1937,11,7618
150,1,1937,12,8736
150,1,1937,13,9305
150,1,1937,14,10447
150,1,1937,15,10813
150,1,1937,16,10940
150,1,1937,17,11948
150,1,1937,18,11955
150,1,1937,19,12175
150,1,1937,20,12811
150,1,1937,21,16798
150,1,1937,22,17117
150,0,1938,0,7345
150,0,1938,1,5688
150,0,1938,2,6769
150,0,1938,3,7103
150,0,1938,4,10287
150,0,1938,5,5172
150,0,1938,6,9837
150,0,1938,7,2580
150,0,1938,8,5726
150,0,1938,9,2322
150,0,1938,10,5099
150,0,1938,11,6442
150,0,1938,12,6476
150,0,1938,13,7101
150,0,1938,14,7539
150,0,1938,15,7645
150,0,1938,16,9070
150,0,1938,17,9510
150,0,1938,18,12224
150,0,1938,19,12420
150,0,1938,20,14199
150,0,1938,21,14344
150,0,1938,22,16333
150,0,1938,23,17623
150,1,1938,0,16546
150,1,1938,1,10447
150,1,1938,2,11200
150,1,1938,3,8279
150,1,1938,4,7736
150,1,1938,5,6029
150,1,1938,6,11519
150,1,1938,7,12811
150,1,1938,8,7391
150,1,1938,9,3823
150,1,1938,10,5232
150,1,1938,11,5369
150,1,1938,12,5632
150,1,1938,13,8032
150,1,1938,14,8736
150,1,1938,15,10084
150,1,1938,16,10148
150,1,1938,17,10195
150,1,1938,18,10928
150,1,1938,19,11955
150,1,1938,20,13224
150,1,1938,21,16406
150,1,1938,22,16562
150,1,1938,23,16810
150,0,1939,0,14344
150,0,1939,1,5688
150,0,1939,2,7539
150,0,1939,3,7407
150,0,1939,4,14199
150,0,1939,5,5172
150,0,1939,6,14812
150,0,1939,7,5726
150,0,1939,8,5099
150,0,1939,9,2475
150,0,1939,10,3699
150,0,1939,11,4352
150,0,1939,12,5178
150,0,1939,13,6442
150,0,1939,14,6769
