team_id,year,league_id,sub_league_id,division_id,gate_revenue,season_ticket_revenue,media_revenue,merchandising_revenue,other_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,development_budget,draft_budget,draft_expenses,budget,market,owner_expectation,scouting_budget,scouting_amateur,scouting_major,scouting_minor,scouting_international
31,1998,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,3610290,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1999,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,3019654,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2000,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2942251,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2001,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2736451,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2002,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,3198977,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2003,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2805542,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2004,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2519560,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2005,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2059424,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2006,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2091685,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2007,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2325249,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2008,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2509924,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2009,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2128765,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2010,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2056941,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2011,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2105432,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2012,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2177617,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2013,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2134795,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2014,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2073730,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2015,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2080145,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2036216,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2017,150,1,2,0,0,0,0,'',0,0,0,0,0,0,0,0,0,0,2134375,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
