player_id,team_id,league_id,position,role,is_major,no_trade,last_year_team_option,last_year_player_option,last_year_vesting_option,next_last_year_team_option,next_last_year_player_option,next_last_year_vesting_option,contract_team_id,contract_league_id,season_year,salary0,salary1,salary2,salary3,salary4,salary5,salary6,salary7,salary8,salary9,years,current_year,minimum_pa,minimum_pa_bonus,minimum_ip,minimum_ip_bonus,mvp_bonus,cyyoung_bonus,allstar_bonus,next_last_year_option_buyout,last_year_option_buyout
2,172,152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,268,160,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,35,150,1,11,1,0,0,0,0,0,0,0,35,150,2019,4200000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,169,151,1,12,1,0,0,0,0,0,0,0,37,150,2019,577500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,39,150,1,11,1,0,0,0,0,0,0,0,39,150,2019,565000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,39,150,1,11,1,0,0,0,0,0,0,0,39,0,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,237,158,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,36,150,7,0,1,0,0,0,0,0,0,0,36,150,2019,3390000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,174,152,1,11,1,0,0,0,0,0,0,0,43,150,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,60,150,6,0,1,0,0,0,0,0,0,0,60,150,2019,3725000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,49,150,7,0,1,0,0,0,0,0,0,0,49,150,2019,4025000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,32,150,1,11,1,0,0,0,0,0,0,0,32,150,2019,575000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,51,150,1,11,1,0,1,0,0,0,0,0,51,150,2019,4000000,8000000,11750000,15000000,16000000,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
20,52,150,1,12,1,0,0,0,0,0,0,0,52,150,2019,559000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,200,154,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,178,152,7,0,1,0,0,0,0,0,0,0,42,150,2019,559400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,205,154,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,178,152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,35,150,1,12,1,0,0,0,0,0,0,0,35,150,2019,569000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,221,156,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,167,151,5,0,1,0,0,0,0,0,0,0,49,150,2019,561420,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,190,153,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,183,152,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,31,150,1,11,1,0,0,0,0,0,0,0,31,150,2019,581300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,201,154,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,181,152,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,32,150,1,12,1,0,0,0,0,0,0,0,32,150,2019,565000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,158,151,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,185,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,40,150,2,0,1,0,0,0,0,0,0,0,40,150,2019,558600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,178,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,157,151,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,58,150,1,12,1,0,0,0,0,0,0,0,58,0,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,36,150,7,0,1,0,0,0,0,0,0,0,36,150,2019,556500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,159,151,3,0,1,0,0,0,0,0,0,0,34,150,2019,558500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,198,153,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,50,150,5,0,1,0,0,0,0,0,0,0,50,150,2019,580000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,215,155,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,58,150,7,0,1,0,0,0,0,0,0,0,58,150,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,37,150,5,0,1,0,0,0,0,0,0,0,37,150,2019,557500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,41,150,5,0,1,0,0,0,0,0,0,0,41,150,2019,585000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,55,150,1,11,1,0,0,0,0,0,0,0,55,0,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,798,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,190,153,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,189,153,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,243,158,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,38,150,8,0,1,0,0,0,0,0,0,0,38,150,2019,561200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,186,152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,331,165,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,192,153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,208,154,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,199,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,201,154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,43,150,1,11,1,0,0,0,0,0,0,0,43,150,2019,568175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,166,151,1,13,1,0,0,0,0,0,0,0,32,0,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,160,151,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,205,154,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,205,154,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,43,150,1,12,1,0,0,0,0,0,0,0,43,0,2019,555000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,756,157,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,162,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,187,153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,294,162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,191,153,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,204,154,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,208,154,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,51,150,7,0,1,0,0,0,0,0,0,0,51,150,2019,575000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
